Company_ID,Date,Sector,Total_Energy_Consumption_kWh,Renewable_Energy_Consumption_kWh,NonRenewable_Energy_Consumption_kWh,Production_Output_Units,Supply_Chain_Transport_km,Supply_Chain_Transport_Mode,Raw_Material_Usage_kg,Carbon_Emission_tCO2e_TARGET,Energy_Cost_USD,Carbon_Tax_USD,Process_Efficiency_Percent,Employment_Count,Public_Acceptance_Index,Carbon_Reduction_Strategy,Strategy_Implementation_Cost_USD,Expected_Carbon_Reduction_Percent,Expected_Renewable_Share_Percent,Social_Impact_Score,Industry_Sectors
C001,2024-01-13,Manufacturing,122846.17,25413.64,97432.53,4609.36,763.86,Rail,10150.88,36.8377,14109.65,1604.42,69.98,4486,0.4,Carbon Tax Compliance,187080.36,6.17,36.72,0.43,Steel Manufacturing
C001,2024-01-14,Manufacturing,97040.72,12137.0,84903.72,5291.1,4637.24,Ship,13981.57,34.0944,10635.08,751.97,62.38,2426,0.56,Renewable Adoption,331567.62,5.79,18.74,0.76,Cement Production
C001,2024-01-15,Manufacturing,134784.04,34799.21,99984.83,3346.89,3513.77,Air,26708.02,37.91,13076.52,1099.39,71.07,1094,0.31,Efficiency Upgrade,129304.29,9.26,34.8,0.91,Automotive Industry
C001,2024-01-16,Manufacturing,182129.63,98283.54,83846.09,4325.74,1209.86,Air,52817.44,41.709,17444.07,843.97,88.6,2952,0.91,Efficiency Upgrade,475572.0,7.69,60.69,0.46,Logistics
C001,2024-01-17,Manufacturing,132983.55,31407.27,101576.28,6443.47,3729.25,Ship,58124.8,47.8,11353.95,1316.11,91.79,916,0.36,Process Reengineering,431739.24,5.88,33.62,0.47,Steel Manufacturing
C001,2024-01-18,Manufacturing,196969.69,35610.34,161359.35,4976.52,3675.5,Truck,17831.17,78.9064,19376.18,1930.97,61.26,3524,0.68,Renewable Adoption,271914.69,5.84,28.55,0.91,Cement Production
C001,2024-01-19,Manufacturing,195829.44,23489.24,172340.2,4220.28,3569.3,Truck,34757.5,71.0001,21782.09,3494.28,86.23,2439,0.86,Renewable Adoption,452566.48,5.5,28.04,0.58,Automotive Industry
C001,2024-01-20,Manufacturing,189622.38,95023.11,94599.27,8776.58,4148.37,Air,21143.85,41.6479,14558.81,881.34,76.47,2134,0.83,Process Reengineering,239863.37,21.41,68.18,0.52,Logistics
C001,2024-01-21,Manufacturing,149004.98,44587.21,104417.77,3507.43,812.39,Air,34580.23,41.9635,14537.86,1901.36,71.59,726,0.37,Carbon Tax Compliance,171427.13,24.25,38.91,0.46,Steel Manufacturing
C001,2024-01-22,Manufacturing,115184.56,53477.03,61707.53,3823.1,3227.94,Truck,36963.68,25.6282,7813.03,1057.51,60.06,4910,0.75,Renewable Adoption,245688.59,6.4,61.39,0.58,Cement Production
C001,2024-01-23,Manufacturing,97087.35,50874.51,46212.84,7477.79,1851.45,Air,56682.5,16.8786,9592.68,618.3,66.71,3605,0.74,Renewable Adoption,346205.97,11.02,65.62,0.4,Automotive Industry
C001,2024-01-24,Manufacturing,93037.06,29301.47,63735.59,6219.86,3446.18,Rail,40925.02,27.733,7980.92,1215.04,93.59,1890,0.73,Carbon Tax Compliance,306180.8,17.66,41.52,0.85,Logistics
C001,2024-01-25,Manufacturing,162670.72,70989.15,91681.57,3021.77,1396.08,Truck,13234.96,45.5462,15094.08,1960.98,75.94,2092,0.77,Process Reengineering,297750.87,9.88,58.48,0.4,Steel Manufacturing
C001,2024-01-26,Manufacturing,162644.67,78886.42,83758.25,1959.29,2413.16,Ship,66287.69,36.7851,13421.19,1350.83,92.11,1494,0.6,Process Reengineering,367031.09,24.76,62.43,0.92,Cement Production
C001,2024-01-27,Manufacturing,183713.89,74647.76,109066.13,7473.47,2771.5,Rail,72804.57,48.9414,15289.99,1359.38,68.65,2771,0.8,Process Reengineering,350699.37,10.49,46.79,0.56,Automotive Industry
C001,2024-01-28,Manufacturing,90757.27,23583.71,67173.56,5861.37,1122.68,Ship,36812.47,22.205,5897.11,720.46,71.58,4316,0.57,Renewable Adoption,433156.47,12.79,42.53,0.92,Logistics
C001,2024-01-29,Manufacturing,52929.79,28599.47,24330.32,6181.21,2646.41,Air,30902.89,9.1968,5950.1,414.52,78.84,4973,0.82,Renewable Adoption,295291.79,10.46,66.32,0.61,Steel Manufacturing
C001,2024-01-30,Manufacturing,150331.04,75025.89,75305.15,7517.63,4282.28,Ship,78650.54,30.636,17060.32,1156.72,83.2,1187,0.72,Renewable Adoption,446740.54,8.63,58.81,0.58,Cement Production
C001,2024-01-31,Manufacturing,118204.9,31767.6,86437.3,8916.76,1752.15,Rail,27659.01,27.3471,6070.63,989.49,95.0,3366,0.45,Efficiency Upgrade,412493.22,18.04,43.19,0.92,Automotive Industry
C001,2024-02-01,Manufacturing,79904.1,8804.63,71099.47,2371.44,1067.99,Truck,49477.87,24.4293,7907.51,1050.63,65.87,1438,0.81,Renewable Adoption,485888.31,7.16,16.4,0.57,Logistics
C001,2024-02-02,Manufacturing,151602.09,87790.71,63811.38,4569.89,3717.57,Truck,51446.85,29.7434,10157.26,1216.97,70.56,1491,0.82,Efficiency Upgrade,238881.51,13.57,68.47,0.68,Steel Manufacturing
C001,2024-02-03,Manufacturing,101184.68,53100.49,48084.19,8400.98,974.92,Air,54490.96,22.3948,10069.05,740.48,85.68,2712,0.7,Process Reengineering,285949.51,21.51,66.37,0.58,Cement Production
C001,2024-02-04,Manufacturing,86824.28,49256.36,37567.92,3510.35,2528.61,Rail,49889.48,16.2909,6385.73,567.4,71.38,4494,0.44,Carbon Tax Compliance,236135.54,22.61,72.25,0.55,Automotive Industry
C001,2024-02-05,Manufacturing,51522.67,29575.62,21947.05,1770.52,3740.34,Rail,48862.33,7.639,4293.2,315.91,75.69,641,0.36,Renewable Adoption,261760.45,9.87,72.36,0.6,Logistics
C001,2024-02-06,Manufacturing,133020.94,36165.56,96855.38,9969.68,2976.75,Air,59199.85,34.3046,8991.98,810.26,66.74,1479,0.78,Renewable Adoption,176616.39,19.77,36.34,0.72,Steel Manufacturing
C001,2024-02-07,Manufacturing,164031.18,65349.26,98681.92,9824.6,4246.83,Air,25923.82,33.1461,8364.01,1194.06,69.6,946,0.66,Renewable Adoption,355147.86,20.06,46.38,0.41,Cement Production
C001,2024-02-08,Manufacturing,92650.9,31441.74,61209.16,4066.35,4844.74,Air,75874.45,24.211,9964.43,775.27,62.59,939,0.4,Carbon Tax Compliance,134072.36,9.96,47.31,0.63,Automotive Industry
C001,2024-02-09,Manufacturing,139419.03,57051.55,82367.48,7981.24,2211.7,Rail,30814.72,34.4053,11156.04,1275.02,62.11,1312,0.92,Renewable Adoption,350206.01,10.29,47.14,0.53,Logistics
C001,2024-02-10,Manufacturing,132798.84,23673.56,109125.28,4676.66,3602.17,Rail,30388.15,37.7896,13211.75,1552.76,75.89,2412,0.9,Renewable Adoption,270055.59,15.89,32.54,0.9,Steel Manufacturing
C001,2024-02-11,Manufacturing,173994.67,23611.93,150382.74,2493.31,1884.25,Air,40740.74,59.2116,12403.45,1899.23,69.53,4923,0.62,Efficiency Upgrade,339214.66,22.79,29.59,0.73,Cement Production
C001,2024-02-12,Manufacturing,53879.73,11555.17,42324.56,7068.69,4372.33,Truck,79970.07,18.3882,3710.47,389.96,86.47,4354,0.64,Process Reengineering,466429.12,8.63,35.23,0.75,Automotive Industry
C001,2024-02-13,Manufacturing,123758.87,18021.92,105736.95,4131.65,1999.89,Truck,70041.32,38.6956,12197.32,1108.49,93.08,800,0.6,Carbon Tax Compliance,200959.54,7.32,31.15,0.88,Logistics
C001,2024-02-14,Manufacturing,173739.08,17473.9,156265.18,8824.31,2578.89,Truck,23130.78,58.1863,17886.62,2255.43,86.6,2167,0.47,Renewable Adoption,471069.1,13.76,25.53,0.47,Steel Manufacturing
C001,2024-02-15,Manufacturing,195972.02,79258.11,116713.91,3153.68,1212.7,Truck,48657.6,37.1899,23410.43,1762.35,76.15,1462,0.72,Renewable Adoption,299350.2,19.33,53.08,0.55,Cement Production
C001,2024-02-16,Manufacturing,175208.59,103394.5,71814.09,3193.58,2980.69,Rail,23342.73,30.153,17913.41,726.54,62.44,3899,0.52,Carbon Tax Compliance,428219.79,10.66,68.49,0.72,Automotive Industry
C001,2024-02-17,Manufacturing,199835.35,68907.26,130928.09,2337.36,2923.61,Air,33270.8,59.2547,15268.36,2843.37,90.44,2456,0.67,Renewable Adoption,442405.19,13.22,44.25,0.66,Logistics
C001,2024-02-18,Manufacturing,187014.53,54349.33,132665.2,9895.73,4065.77,Ship,44673.01,40.7818,15926.23,1537.69,90.44,4106,0.36,Process Reengineering,106139.04,7.88,47.13,0.93,Steel Manufacturing
C001,2024-02-19,Manufacturing,61224.24,30046.57,31177.67,3385.21,3304.67,Rail,55488.57,14.6645,6714.09,671.34,73.3,3094,0.71,Process Reengineering,448953.21,5.72,55.1,0.75,Cement Production
C001,2024-02-20,Manufacturing,188139.36,112641.47,75497.89,7720.9,2452.87,Truck,63225.88,33.2778,10730.62,831.64,70.48,737,0.33,Efficiency Upgrade,217347.11,12.5,67.05,0.69,Automotive Industry
C001,2024-02-21,Manufacturing,134889.21,66940.08,67949.13,2529.85,855.36,Rail,53379.73,23.6576,15363.62,574.73,76.14,2580,0.6,Efficiency Upgrade,459563.41,14.31,58.94,0.7,Logistics
C001,2024-02-22,Manufacturing,61079.29,34975.09,26104.2,9888.87,1846.19,Rail,58321.95,10.2163,4345.7,510.62,89.87,1373,0.45,Carbon Tax Compliance,329924.77,24.85,66.69,0.94,Steel Manufacturing
C001,2024-02-23,Manufacturing,148734.47,35285.79,113448.68,6093.36,3586.1,Truck,73743.19,50.9424,16107.75,2398.78,87.15,2385,0.69,Carbon Tax Compliance,187601.82,8.8,32.48,0.82,Cement Production
C001,2024-02-24,Manufacturing,165120.62,72723.67,92396.95,2231.01,937.24,Truck,31625.3,35.8652,14955.0,1505.29,63.15,2917,0.51,Process Reengineering,170256.03,7.64,57.13,0.93,Automotive Industry
C001,2024-02-25,Manufacturing,129627.86,72169.47,57458.39,8474.25,1656.37,Rail,77716.89,20.6292,14379.33,910.3,76.39,1116,0.39,Renewable Adoption,444056.24,19.48,75.37,0.93,Logistics
C001,2024-02-26,Manufacturing,170688.15,48285.55,122402.6,8116.14,562.63,Truck,41835.02,53.192,16567.65,1996.66,88.78,3543,0.37,Renewable Adoption,288590.75,17.39,47.44,0.58,Steel Manufacturing
C001,2024-02-27,Manufacturing,141512.33,59976.63,81535.7,6718.64,2589.2,Air,55446.76,26.3634,7524.82,556.7,94.86,1451,0.36,Renewable Adoption,255458.33,12.42,61.62,0.78,Cement Production
C001,2024-02-28,Manufacturing,131028.87,51582.16,79446.71,7539.39,4484.36,Truck,68358.52,33.6163,15164.46,954.44,84.16,2279,0.59,Renewable Adoption,442180.08,6.99,54.65,0.7,Automotive Industry
C001,2024-02-29,Manufacturing,196676.38,54938.97,141737.41,4583.26,1354.14,Truck,76430.76,65.885,11095.92,1736.94,82.38,674,0.33,Carbon Tax Compliance,197427.56,7.52,41.4,0.44,Logistics
C001,2024-03-01,Manufacturing,164773.61,33544.39,131229.22,2943.56,4413.63,Air,64205.8,60.0674,15112.82,1701.0,94.44,1564,0.65,Renewable Adoption,143970.54,22.33,27.33,0.6,Steel Manufacturing
C001,2024-03-02,Manufacturing,168264.73,66368.06,101896.67,1142.03,1694.15,Ship,61920.26,41.2903,17196.08,1415.74,87.23,4704,0.69,Process Reengineering,301535.48,23.91,45.09,0.83,Cement Production
C001,2024-03-03,Manufacturing,180047.14,64947.61,115099.53,5122.38,4838.12,Truck,79901.07,54.0346,14374.81,1255.7,84.93,4133,0.35,Efficiency Upgrade,228844.73,7.97,42.97,0.74,Automotive Industry
C001,2024-03-04,Manufacturing,137804.7,62849.47,74955.23,4428.14,3188.26,Air,41760.08,31.5625,7846.94,1295.75,89.85,2261,0.58,Renewable Adoption,265525.43,21.55,56.59,0.8,Logistics
C001,2024-03-05,Manufacturing,96882.25,24827.22,72055.03,3294.01,4791.17,Rail,14699.33,33.6032,5476.38,769.41,85.86,1565,0.66,Carbon Tax Compliance,368005.31,13.22,43.73,0.92,Steel Manufacturing
C001,2024-03-06,Manufacturing,113440.53,63290.95,50149.58,1463.01,1794.33,Air,34615.23,20.8413,7361.35,827.44,67.85,1386,0.53,Carbon Tax Compliance,145954.13,10.57,64.18,0.64,Cement Production
C001,2024-03-07,Manufacturing,134144.86,64888.05,69256.81,6595.51,3537.4,Truck,52629.64,29.8889,13219.03,623.74,69.56,3031,0.9,Carbon Tax Compliance,102442.32,22.4,61.87,0.62,Automotive Industry
C001,2024-03-08,Manufacturing,71281.2,29694.75,41586.45,1275.91,3857.5,Ship,36333.61,16.249,4349.48,476.89,71.35,1195,0.87,Renewable Adoption,162963.96,17.36,56.77,0.55,Logistics
C001,2024-03-09,Manufacturing,149290.8,51181.49,98109.31,4978.4,1729.25,Truck,34162.1,31.6087,14552.16,1194.62,78.44,3026,0.33,Process Reengineering,493778.26,6.1,42.35,0.92,Steel Manufacturing
C001,2024-03-10,Manufacturing,165102.43,79592.65,85509.78,3605.02,1039.93,Rail,62290.99,28.6577,12649.24,1178.12,77.51,3401,0.35,Efficiency Upgrade,274487.84,14.2,54.38,0.57,Cement Production
C001,2024-03-11,Manufacturing,114392.64,34570.76,79821.88,6761.28,1802.82,Rail,11459.96,29.1313,12136.21,1122.83,89.12,3464,0.36,Efficiency Upgrade,197326.59,16.78,43.08,0.62,Automotive Industry
C001,2024-03-12,Manufacturing,96541.18,26042.62,70498.56,3997.62,1256.6,Truck,47142.34,23.8836,10072.72,729.24,93.54,1709,0.45,Renewable Adoption,202387.29,8.47,34.27,0.82,Logistics
C001,2024-03-13,Manufacturing,61302.99,35288.83,26014.16,6651.54,2587.79,Rail,57679.34,12.3934,5824.36,614.66,71.31,3089,0.4,Efficiency Upgrade,287568.43,17.63,74.51,0.73,Steel Manufacturing
C001,2024-03-14,Manufacturing,102791.33,14092.21,88699.12,5155.68,669.23,Air,68218.76,27.9709,11358.19,1277.12,81.53,4653,0.55,Efficiency Upgrade,279893.48,21.2,28.49,0.58,Cement Production
C001,2024-03-15,Manufacturing,121344.35,21287.5,100056.85,1556.86,965.76,Air,78766.99,31.7046,11555.49,671.32,84.77,4099,0.64,Renewable Adoption,245559.18,23.36,28.35,0.83,Automotive Industry
C001,2024-03-16,Manufacturing,151834.66,19158.92,132675.74,6677.98,2005.92,Air,16615.42,57.8036,10611.77,2411.1,82.98,1731,0.52,Renewable Adoption,466698.58,11.2,27.46,0.76,Logistics
C001,2024-03-17,Manufacturing,69342.75,31510.52,37832.23,1762.47,3015.15,Air,66922.93,16.4201,7490.9,692.32,83.99,4812,0.36,Process Reengineering,303395.39,5.36,55.07,0.92,Steel Manufacturing
C001,2024-03-18,Manufacturing,101259.85,48916.42,52343.43,2728.05,4999.89,Ship,15401.56,24.5431,5779.9,1058.45,89.23,4813,0.32,Carbon Tax Compliance,450557.11,17.36,62.27,0.48,Cement Production
C001,2024-03-19,Manufacturing,77126.9,34431.21,42695.69,6622.66,4561.95,Rail,13058.47,15.9195,7741.3,781.45,81.37,4177,0.45,Renewable Adoption,223787.16,21.17,56.68,0.86,Automotive Industry
C001,2024-03-20,Manufacturing,105176.14,60325.36,44850.78,9859.96,2577.56,Air,64468.68,17.9664,8341.13,446.68,66.99,1633,0.87,Efficiency Upgrade,356471.61,22.48,70.67,0.46,Logistics
C001,2024-03-21,Manufacturing,176883.84,92967.14,83916.7,3565.57,3934.03,Air,41452.35,33.7908,19134.1,768.79,91.87,4195,0.88,Efficiency Upgrade,265958.76,12.93,63.17,0.61,Steel Manufacturing
C001,2024-03-22,Manufacturing,62240.82,13211.82,49029.0,3868.16,945.87,Air,65396.64,16.058,4361.93,720.89,84.36,1636,0.79,Process Reengineering,279440.59,5.11,27.42,0.54,Cement Production
C001,2024-03-23,Manufacturing,175244.46,65611.9,109632.56,7545.11,2874.97,Truck,64332.08,38.1004,10256.95,1034.55,82.36,4244,0.34,Process Reengineering,338695.62,5.33,50.17,0.53,Automotive Industry
C001,2024-03-24,Manufacturing,71536.53,22506.78,49029.75,6533.29,1582.54,Rail,23111.97,21.2614,6198.21,655.24,93.37,4957,0.63,Efficiency Upgrade,256181.49,14.4,46.0,0.94,Logistics
C001,2024-03-25,Manufacturing,88047.54,9519.8,78527.74,8096.68,2051.61,Truck,64005.1,35.1048,6451.8,748.79,79.11,1934,0.84,Process Reengineering,492327.67,14.57,18.55,0.47,Steel Manufacturing
C001,2024-03-26,Manufacturing,157406.76,90005.59,67401.17,1332.85,1407.16,Ship,72005.33,24.4747,11286.9,781.89,88.54,4378,0.46,Renewable Adoption,214444.36,22.24,62.9,0.76,Cement Production
C001,2024-03-27,Manufacturing,90982.49,45461.33,45521.16,4932.56,2300.1,Rail,72624.62,17.1765,10750.55,599.22,77.41,4753,0.47,Efficiency Upgrade,390832.53,6.58,64.0,0.85,Automotive Industry
C001,2024-03-28,Manufacturing,131821.16,34353.35,97467.81,1720.62,3474.14,Air,41214.1,43.2301,8128.77,1440.31,75.65,3388,0.7,Process Reengineering,209822.14,24.6,45.28,0.44,Logistics
C001,2024-03-29,Manufacturing,145626.88,41016.62,104610.26,8209.86,3557.35,Truck,19994.56,44.0947,15245.95,927.93,62.35,3500,0.54,Efficiency Upgrade,342037.93,18.58,47.4,0.6,Steel Manufacturing
C001,2024-03-30,Manufacturing,164462.67,63640.62,100822.05,5765.14,2291.15,Air,27472.82,32.5342,16692.51,1137.76,73.54,1464,0.47,Carbon Tax Compliance,381615.12,9.29,52.87,0.78,Cement Production
C001,2024-03-31,Manufacturing,199794.33,39976.68,159817.65,2221.56,833.23,Ship,72907.53,62.1726,11217.52,2515.37,89.59,3118,0.73,Efficiency Upgrade,319998.86,10.81,29.51,0.49,Automotive Industry
C001,2024-04-01,Manufacturing,156434.57,70412.71,86021.86,2566.82,2126.71,Ship,18495.37,29.2643,9342.49,1279.18,60.92,3522,0.6,Renewable Adoption,344779.35,6.72,54.65,0.95,Logistics
C001,2024-04-02,Manufacturing,157830.45,57268.44,100562.01,7922.48,4205.03,Truck,18772.87,36.5448,8710.91,1241.61,78.11,1551,0.87,Renewable Adoption,407112.65,7.58,48.83,0.88,Steel Manufacturing
C001,2024-04-03,Manufacturing,174708.62,62729.32,111979.3,3737.12,1228.85,Ship,34221.62,54.6661,19680.02,2480.64,68.77,2748,0.38,Carbon Tax Compliance,345771.31,6.87,50.52,0.73,Cement Production
C001,2024-04-04,Manufacturing,137096.98,25445.24,111651.74,6620.31,4559.0,Air,68977.1,46.0813,14774.47,960.85,61.59,2668,0.72,Process Reengineering,347243.37,5.61,36.89,0.7,Automotive Industry
C001,2024-04-05,Manufacturing,146286.09,36724.69,109561.4,3203.9,4133.07,Rail,30820.37,34.4674,7927.82,1143.91,76.95,2171,0.52,Renewable Adoption,225033.0,19.37,41.12,0.87,Logistics
C001,2024-04-06,Manufacturing,196306.12,32465.71,163840.41,4334.86,3027.43,Air,26921.65,53.1669,15993.4,1288.04,61.77,3646,0.86,Process Reengineering,199308.11,22.31,23.93,0.58,Steel Manufacturing
C001,2024-04-07,Manufacturing,136653.06,35032.03,101621.03,7868.09,2742.19,Rail,44913.18,36.7571,7054.35,1777.46,77.69,2472,0.44,Carbon Tax Compliance,119463.25,10.63,39.6,0.86,Cement Production
C001,2024-04-08,Manufacturing,150878.09,36644.39,114233.7,1073.6,983.74,Ship,71771.9,50.8913,15611.35,1576.52,74.02,2094,0.54,Carbon Tax Compliance,129412.7,15.09,40.75,0.55,Automotive Industry
C001,2024-04-09,Manufacturing,198363.61,87319.53,111044.08,2069.3,4887.87,Rail,36123.88,55.2286,17663.93,1710.33,65.05,4670,0.56,Efficiency Upgrade,118121.34,7.74,54.02,0.66,Logistics
C001,2024-04-10,Manufacturing,118548.28,47790.4,70757.88,5639.55,1975.85,Air,21375.14,35.2461,12062.57,1021.33,71.77,4675,0.65,Carbon Tax Compliance,289957.04,5.33,50.28,0.46,Steel Manufacturing
C001,2024-04-11,Manufacturing,112481.04,28552.07,83928.97,9088.9,4424.45,Truck,51783.67,29.6358,10785.96,1456.95,80.25,2364,0.77,Process Reengineering,168204.82,17.58,39.68,0.86,Cement Production
C001,2024-04-12,Manufacturing,72166.36,31779.43,40386.93,1284.13,4766.92,Truck,23354.9,15.6785,5723.85,507.81,67.14,4610,0.8,Process Reengineering,449127.08,19.72,49.97,0.48,Automotive Industry
C001,2024-04-13,Manufacturing,81101.26,21291.09,59810.17,6960.04,2864.65,Air,76967.98,23.4416,7081.67,853.0,83.66,2665,0.7,Renewable Adoption,482934.96,10.58,35.73,0.92,Logistics
C001,2024-04-14,Manufacturing,197339.04,95825.3,101513.74,7344.11,3606.08,Rail,32192.85,37.5358,22764.84,1646.4,69.57,1498,0.67,Process Reengineering,458304.18,12.89,58.74,0.83,Steel Manufacturing
C001,2024-04-15,Manufacturing,71971.42,8710.93,63260.49,9597.82,855.63,Rail,55918.04,28.4335,4676.64,1274.92,69.49,2725,0.39,Renewable Adoption,196983.22,18.4,25.07,0.75,Cement Production
C001,2024-04-16,Manufacturing,57873.67,17747.0,40126.67,7456.22,952.45,Ship,10362.7,16.4548,6657.61,529.96,92.73,4396,0.61,Renewable Adoption,402364.42,10.74,39.95,0.43,Automotive Industry
C001,2024-04-17,Manufacturing,165308.75,70446.22,94862.53,3089.98,3824.09,Truck,73926.08,31.7802,18474.43,803.2,92.19,3752,0.81,Renewable Adoption,474643.5,24.24,61.51,0.88,Logistics
C001,2024-04-18,Manufacturing,51390.08,19732.81,31657.27,1965.71,4923.47,Air,41804.44,13.5576,4455.64,632.84,64.7,4630,0.6,Renewable Adoption,423525.55,11.61,54.36,0.76,Steel Manufacturing
C001,2024-04-19,Manufacturing,157789.73,16890.14,140899.59,4034.01,1827.61,Ship,22284.64,66.396,17797.58,2975.18,78.03,1210,0.56,Efficiency Upgrade,173912.48,7.81,20.56,0.54,Cement Production
C001,2024-04-20,Manufacturing,89117.79,19406.35,69711.44,7783.81,4793.16,Air,50772.25,28.9007,6087.52,889.75,68.27,1468,0.6,Renewable Adoption,262166.65,15.05,40.2,0.79,Automotive Industry
C001,2024-04-21,Manufacturing,96646.69,15338.59,81308.1,9245.17,1827.67,Ship,25339.0,26.5645,5868.68,1127.19,81.2,3906,0.76,Process Reengineering,402940.21,21.04,33.25,0.82,Logistics
C001,2024-04-22,Manufacturing,152051.29,60502.31,91548.98,8086.34,2864.78,Air,15467.19,37.7945,8259.89,1376.83,77.69,4896,0.4,Carbon Tax Compliance,441794.4,13.84,55.0,0.79,Steel Manufacturing
C001,2024-04-23,Manufacturing,123324.2,67759.83,55564.37,5009.34,750.36,Ship,45927.35,21.7457,6664.63,736.56,88.24,678,0.56,Efficiency Upgrade,398321.79,16.57,60.62,0.59,Cement Production
C001,2024-04-24,Manufacturing,59563.99,35563.38,24000.61,9411.25,810.59,Rail,12221.44,9.1628,6184.41,393.77,94.24,3943,0.54,Process Reengineering,279414.85,23.34,70.37,0.44,Automotive Industry
C001,2024-04-25,Manufacturing,194621.66,104565.71,90055.95,2196.91,4371.29,Truck,22493.15,36.6934,16935.78,1535.1,67.79,528,0.79,Carbon Tax Compliance,285201.56,19.38,65.09,0.61,Logistics
C001,2024-04-26,Manufacturing,84449.61,27894.77,56554.84,2396.09,1348.16,Truck,12255.21,24.4339,7857.58,1174.96,91.12,2471,0.43,Efficiency Upgrade,337577.66,13.93,48.11,0.88,Steel Manufacturing
C001,2024-04-27,Manufacturing,86710.12,10588.9,76121.22,4950.67,2928.92,Truck,19809.49,37.9614,5756.8,1802.86,80.16,3126,0.45,Renewable Adoption,494278.22,15.43,23.42,0.55,Cement Production
C001,2024-04-28,Manufacturing,133507.72,52846.84,80660.88,7616.91,1288.1,Rail,48909.55,24.9546,9894.13,980.7,73.34,4796,0.51,Process Reengineering,263303.67,11.0,47.34,0.7,Automotive Industry
C001,2024-04-29,Manufacturing,86145.23,18320.7,67824.53,8717.87,1149.58,Rail,74031.88,27.9761,10143.17,1027.24,64.69,2489,0.47,Carbon Tax Compliance,358682.34,23.44,38.97,0.45,Logistics
C001,2024-04-30,Manufacturing,158687.71,30982.32,127705.39,3416.15,3531.52,Truck,71153.43,43.1175,16395.42,1799.26,79.56,4427,0.44,Carbon Tax Compliance,221275.21,23.18,27.7,0.5,Steel Manufacturing
C001,2024-05-01,Manufacturing,161221.28,76328.54,84892.74,7788.98,4614.99,Ship,37764.24,29.5313,11690.65,841.4,76.32,3443,0.5,Carbon Tax Compliance,305126.62,14.95,53.82,0.94,Cement Production
